filepath,raw_label,unified_label,source,group_id,split
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac1_jpg.rf.5311e7813084cdc109ec65b443bedd3c.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1360,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac1_jpg.rf.7f8d7c38fca8660da74e7f4def729511.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1360,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac1_jpg.rf.bd840dfe25e6a88329f2366cb4b4b692.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1360,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac2_jpg.rf.7c0cb25e17ed14b81f79d441ba8bcc78.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1361,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac2_jpg.rf.df80a0dd73b4314baefc3a0db0cf6de9.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1361,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac2_jpg.rf.f5bc5fa513877fcbe3340d7baa1e0313.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1361,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac3_jpg.rf.45638b6db1e0df8a4d5808cdd9978de0.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac3_jpg.rf.cf930f7deadfb0336f8e0e0bdd044d96.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac3_jpg.rf.ede766a05e95f0d292b37756f9a637cb.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac4_png.rf.0a79259ea2a232c5db0c60a2ccd3b63d.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,221,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac4_png.rf.a545b39815911af7dc2215a55e48987b.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,221,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bac4_png.rf.d5c6154580356c25885593026f7372f4.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,221,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc1_jpg.rf.0c5595790601e8855cab203843db6628.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1135,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc1_jpg.rf.20750919c0b0ec92a495abfd6ff4cb20.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1135,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc1_jpg.rf.b71515d9d9e62376e66a9ecbd64d008e.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1135,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc2_jpg.rf.80fccb9e00099853407a1a7b1e2f7d97.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1136,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc2_jpg.rf.c787f922e95f4e1b9aee8ee71def9797.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1136,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc2_jpg.rf.f3b32ccf03e27dc25f01983df5023823.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1136,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc3_jpg.rf.509c8182cc022bd2fdb55db1ae47eb70.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1137,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc3_jpg.rf.cbbdf34854031222d757e861a1021e55.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1137,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacc3_jpg.rf.f05d165ba461d54fcdcfab8b17c8836a.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1137,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria3_png.rf.399d3cc1019e2c019ec4d7cf6f6f3a2e.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1285,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria3_png.rf.a1cd212c26b24e427161f4e18c5658d9.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1285,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria3_png.rf.c87c9b75ff9d1836d2c96bdb934b0abc.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1285,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria4_png.rf.1eeb1d0161eb2b6a6b5c33e4fd862d63.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,222,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria4_png.rf.2d5130bd911d756a4efc1e364b21dc9c.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,222,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacteria4_png.rf.eb5f1faa34e1830c63eae76365a725ea.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,222,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial-infection-pustules-ri-livinga-2-300x300.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1138,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial-skin-infection-s_720250150.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1139,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial1_png.rf.63b64d3b17536fd829fe2312c131fd61.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1286,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial1_png.rf.8bd258f1ea0d00eb3e5a9102853cf660.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1286,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial1_png.rf.ead2091ca9819d3fa39477a92fb201c8.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1286,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_1_png.rf.30e6141cb6d55123061bf4715c64813f.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,995,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_1_png.rf.32ed79a2a0db7d1a883da9cae6755563.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,995,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_1_png.rf.7e301129bb0a6c98ef5606f4c3eba591.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,995,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_2_jpg.rf.3ecb850e33ee28a0bea403a45625ee83.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1287,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_2_jpg.rf.57897be3c7eacc71cc9ef501002520e2.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1287,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_2_jpg.rf.e05b1fba4362d3924b69b3867caa11da.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1287,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_1_jpg.rf.bca50760f3bcdb5e444609138d9d14ea.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1140,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_1_jpg.rf.f5236c4b5b2eeb1383ed9667d012d8b2.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1140,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_1_jpg.rf.f81b6d7ab44e52027c73bcf08312969d.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1140,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_Image_2_jpg.rf.04134948f0b2b75e1de9f6d9070bc2c6.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,223,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_Image_2_jpg.rf.6685f2d528b09526b1782d6c3ed630c2.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,223,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\Bacterial_Image_2_jpg.rf.b5407033a2aef0fcdd9f72a94e09ea6c.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,223,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_3_jpg.rf.28a5e186525c3965c00810b3f4d3ae2a.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_3_jpg.rf.6e7ff00953da7948b11d5147fc72b6be.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_3_jpg.rf.aa1218029b562b4ae10dd4d3c2bc116d.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1141,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_4_jpg.rf.4814e44319d2e297cec30114ea759215.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1142,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_4_jpg.rf.58cb991e76d179755fa5a35d120ca161.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1142,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\bacterial_Image_4_jpg.rf.ed9a3e9f16856b9b56eb2e36db186693.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1142,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\black-spots-hair-loss-bacterial-infection-dr-spiegel-440.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1143,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\black-spots-infection-191861127511.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1144,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\contact_dermatitis_4935_9_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1145,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\dfzg.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,9,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\fly_strike_dermatitis_in_dogs_4935_6_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1148,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\folliculitis-two-spiegel.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1149,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\food_allergy_dermatitis_4935_5_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1150,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\fungal_dermatitis_4935_11_600.webp,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1151,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\fxgh.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,10,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\hj.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,11,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\hot-spot-dog-paw-sh_1862261590.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1153,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\hot-spot-sh.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1154,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\hot-spot-tail-sh_1072961252-300x300.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1155,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\hqdefault.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,12,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic0.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,13,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic1.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1235,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic2.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,14,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic3.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,15,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic4.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,16,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic456.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1383,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic5.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1238,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic6.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,17,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic7.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,18,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic8.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,19,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\pic9.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1242,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\red-circle-ri-1mo-450.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1243,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\seborrheic_dermatitis_4935_10_600.webp,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1244,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\vx.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,20,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\zdfg (2).jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,21,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\zdfg.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,22,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\zfdg.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,23,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung1_jpg.rf.0e0deb5ac87a43b13f544b6ca5f45f7e.jpg,Fungal_infections,Fungal_infection,dataset1,1556,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung1_jpg.rf.32912b425b9107cd2a7b90ac1c29590a.jpg,Fungal_infections,Fungal_infection,dataset1,1556,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung1_jpg.rf.dd65ca74677b2d37918ea70387ee8841.jpg,Fungal_infections,Fungal_infection,dataset1,1556,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung2_jpg.rf.2ac413733eea46de3cc94099a6f84950.jpg,Fungal_infections,Fungal_infection,dataset1,1557,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung2_jpg.rf.bfdd88f4e794d851c5ddeb630b1765b8.jpg,Fungal_infections,Fungal_infection,dataset1,1557,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung2_jpg.rf.c13f2ff675e2034380524cbd39954f93.jpg,Fungal_infections,Fungal_infection,dataset1,1557,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung4_jpg.rf.608bf0bd5797e098ca2bdc3910e57c49.jpg,Fungal_infections,Fungal_infection,dataset1,1558,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung4_jpg.rf.8f4c21e3ba039c6bd836b8a6f2057281.jpg,Fungal_infections,Fungal_infection,dataset1,1558,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung4_jpg.rf.a02345003ecbe1653b3792e1c140eef2.jpg,Fungal_infections,Fungal_infection,dataset1,1558,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung5_jpg.rf.7eeef9f8f70789298f4798346ed6ea07.jpg,Fungal_infections,Fungal_infection,dataset1,1460,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung5_jpg.rf.afd9266ef9bbc8cc3ae028799687e3e8.jpg,Fungal_infections,Fungal_infection,dataset1,1460,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fung5_jpg.rf.ea27359dc3cd0565460d665f6a8b8109.jpg,Fungal_infections,Fungal_infection,dataset1,1460,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal1_jpg.rf.27ae8c9bcaa672de346baa75aaa604e6.jpg,Fungal_infections,Fungal_infection,dataset1,1420,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal1_jpg.rf.c59e9cfbab50e58e873e02cde2b0bdc1.jpg,Fungal_infections,Fungal_infection,dataset1,1420,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal1_jpg.rf.ede6ab9cda2d1a7bfd0af0b701f69b9b.jpg,Fungal_infections,Fungal_infection,dataset1,1420,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal1_png.rf.315fe72949a94f01bd414c20a64b0586.jpg,Fungal_infections,Fungal_infection,dataset1,1551,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal1_png.rf.3ace3f1d21b5601b5b9512505bbbbe48.jpg,Fungal_infections,Fungal_infection,dataset1,1551,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal1_png.rf.50a3a18ef0c73cb8eeb1293c2c690c17.jpg,Fungal_infections,Fungal_infection,dataset1,1551,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal2_jpg.rf.307b5b19918cfb068e112488fcd75524.jpg,Fungal_infections,Fungal_infection,dataset1,51,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal2_jpg.rf.7744a7f33b3e037a8a7cf60aa4d268be.jpg,Fungal_infections,Fungal_infection,dataset1,51,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal2_jpg.rf.eb69f493ba5b3a16262118b9933b2e4a.jpg,Fungal_infections,Fungal_infection,dataset1,51,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal2_png.rf.45b9a4bf67f6b03bdf3841b9e0799203.jpg,Fungal_infections,Fungal_infection,dataset1,1457,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal2_png.rf.9abc331a34c91022a54531e2754aca0e.jpg,Fungal_infections,Fungal_infection,dataset1,1457,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal2_png.rf.d6e5ccd48b9f4bd4d9147d657a92729a.jpg,Fungal_infections,Fungal_infection,dataset1,1457,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal3_jpg.rf.431695094998d11134985bac9cbb4221.jpg,Fungal_infections,Fungal_infection,dataset1,1461,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal3_jpg.rf.553236ca22f44c3731b1acf765005b9d.jpg,Fungal_infections,Fungal_infection,dataset1,1461,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\fungal3_jpg.rf.a3cc829b79b93483310453fd11d55ae2.jpg,Fungal_infections,Fungal_infection,dataset1,1461,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal3_png.rf.4d6246549c920ad0035288e19471ce26.jpg,Fungal_infections,Fungal_infection,dataset1,1553,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal3_png.rf.628c08b109ee445ac0a59e939c3de6b6.jpg,Fungal_infections,Fungal_infection,dataset1,1553,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal3_png.rf.77bb7c2184e22f4fe7299f318ead9b6b.jpg,Fungal_infections,Fungal_infection,dataset1,1553,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal4_png.rf.1fd3c7212eac412856b4785901faa9a4.jpg,Fungal_infections,Fungal_infection,dataset1,292,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal4_png.rf.234e9e2531e5cb56d916b88171b297af.jpg,Fungal_infections,Fungal_infection,dataset1,292,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal4_png.rf.56f48b56c3e2809f9cea8db05143bf51.jpg,Fungal_infections,Fungal_infection,dataset1,292,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_2_jpg.rf.109f4fb862290f59d59f1d77cf55a2a7.jpg,Fungal_infections,Fungal_infection,dataset1,1458,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_2_jpg.rf.7826952571665c3cb17eb4fce55b87f0.jpg,Fungal_infections,Fungal_infection,dataset1,1458,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_2_jpg.rf.9bfe8b22442dae5dc04f30e30ab5a177.jpg,Fungal_infections,Fungal_infection,dataset1,1458,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_1_jpg.rf.289c2dbb710bd3916837bd9f66a0b594.jpg,Fungal_infections,Fungal_infection,dataset1,294,test
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_1_jpg.rf.5bf29ef56032ff8e4673b723bb8dc9ff.jpg,Fungal_infections,Fungal_infection,dataset1,294,test
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_1_jpg.rf.61a627df4684d9ef8ce3c134e645d066.jpg,Fungal_infections,Fungal_infection,dataset1,294,test
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_2_jpg.rf.2fd953e410d6fd6f96ef898c16f7eba0.jpg,Fungal_infections,Fungal_infection,dataset1,1555,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_2_jpg.rf.a21da398a6b4dff4014d7a3717b19fd2.jpg,Fungal_infections,Fungal_infection,dataset1,1555,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_2_jpg.rf.a5adb82a978c9ca726d0590045ec8941.jpg,Fungal_infections,Fungal_infection,dataset1,1555,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_4_jpg.rf.0d82c6e6537d46585057bcc6248d8912.jpg,Fungal_infections,Fungal_infection,dataset1,1459,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_4_jpg.rf.5264260d6cdf84730b67538909964b6e.jpg,Fungal_infections,Fungal_infection,dataset1,1459,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\Fungal_Image_4_jpg.rf.5ffe2d39a74a192ea85b27b0b917ccd5.jpg,Fungal_infections,Fungal_infection,dataset1,1459,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\pic0.jpg,Fungal_infections,Fungal_infection,dataset1,1462,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\pic1.jpg,Fungal_infections,Fungal_infection,dataset1,24,train
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\pic10.jpg,Fungal_infections,Fungal_infection,dataset1,1463,val
D:\22_SkinSense_ML\dataset1\Dogs\Fungal_infections\pic11.jpg,Fungal_infections,Fungal_infection,dataset1,25,train
